idMso	Exists in Office PowerPoint 2010	Type in Office PowerPoint 2010	Label in Office PowerPoint 2010	Exists in Office PowerPoint 2013	Type in Office PowerPoint 2013	Label in Office PowerPoint 2013
CustomAddAnimationPathDialog	1	button	More Motion Paths	0
CustomAnimationEmphasisDialog	1	button	More Emphasis Effects	0
CustomAnimationEntranceDialog	1	button	More Entrance Effects	0
CustomAnimationExitDialog	1	button	More Exit Effects	0
CustomAnimationPathDialog	1	button	More Motion Paths	0
CustomSlideSize	0			1	button	Custom Slide Size
Cut	1	button	Cut	1	button	Cut
DateAndTimeInsert	1	button	Date & Time	1	button	Date & Time
DeleteNode	1	button	Delete Point	1	button	Delete Point
DeleteSegment	1	button	Delete Segment	1	button	Delete Segment
DeleteSlideContextual	1	button	Delete Slide	1	button	Delete Slide
DiagrammingOnline	0			1	toggleButton	Convert to Shapes
DiscardCachedDocumentChanges	1	button	Discard Changes	0
DocumentLocation	1	comboBox	Address	1	comboBox	Address
DocumentPanelTemplate	1	button	Document Panel	1	button	Document Panel
DrawingCanvasExpand	1	button	Expand	1	button	Expand
DrawingCanvasFit	1	button	Fit	1	button	Fit
DrawingCanvasResize	1	button	Resize	1	button	Resize
DrawingCanvasScale	1	button	Scale Drawing	1	button	Scale Drawing
DuplicateSelectedSlides	1	button	Duplicate Selected Slides	1	button	Duplicate Slide
EditOleObjectMenu	1	menu	Object	1	menu	Object
EffectOptionsColorsGallery	1	gallery	Effect Options Color Property	1	gallery	Effect Options Color Property
EffectOptionsDialog	1	button	More Options	1	button (dialogBoxLauncher)	More Options
EffectOptionsGallery	1	gallery	Effect Options Property	1	gallery	Effect Options Property
EffectOptionsMenu	1	menu	Effect Options	1	menu	Effect Options
EndBroadcast	1	button	End Broadcast	0
EquationAccentGallery	1	gallery	Accent	1	gallery	Accent
EquationAlignThisCharacter	1	button	Equation Alignment	0
EquationBarLocation	1	button	Place Bar above/below Base	0
EquationBorderPropertiesMenu	1	menu	Border Properties	0
EquationCenteredAsGroupJustification	1	toggleButton	Centered as a Group	0
EquationCenteredJustification	1	toggleButton	Centered	0
EquationDecreaseArgumentSize	1	button	Decrease Argument Size	0
EquationDeleteArgument	1	button	Delete Argument	0
EquationDelimiterGallery	1	gallery	Bracket	1	gallery	Bracket
EquationFractionGallery	1	gallery	Fraction	1	gallery	Fraction
EquationFunctionGallery	1	gallery	Function	1	gallery	Function
EquationGroupingCharacterLocation	1	button	Place Character above/under Base	0
EquationIncreaseArgumentSize	1	button	Increase Argument Size	0
EquationInsertArgumentAfter	1	button	Insert Argument After	0
EquationInsertArgumentBefore	1	button	Insert Argument Before	0
EquationInsertGallery	1	gallery	Equation	1	gallery	Equation
EquationInsertNew	1	button	Insert New Equation	1	button	Insert New Equation
EquationIntegralGallery	1	gallery	Integral	1	gallery	Integral
EquationJustificationMenu	1	menu	Justification	0
EquationLargeOperatorGallery	1	gallery	Large Operator	1	gallery	Large Operator
EquationLeftJustification	1	toggleButton	Left	0
EquationLimitGallery	1	gallery	Limit and Log	1	gallery	Limit and Log
EquationLimitLocation	1	button	Change Limit Location	0
EquationLinearFormat	1	button	Linear	1	button	Linear
EquationLinearFraction	1	button	Linear Fraction	0
EquationManualBreak	1	button	Equation Manual Break	0
EquationMatchDelimiters	1	button	Match Brackets to Argument Height	0
EquationMatrixDeleteColumn	1	button	Delete Column	0
EquationMatrixDeleteMenu	1	menu	Delete	0
EquationMatrixDeleteRow	1	button	Delete Row	0
EquationMatrixGallery	1	gallery	Matrix	1	gallery	Matrix
EquationMatrixInsertColumnAfter	1	button	Insert Column After	0
EquationMatrixInsertColumnBefore	1	button	Insert Column Before	0
EquationMatrixInsertMenu	1	menu	Insert	0
EquationMatrixInsertRowAfter	1	button	Insert Row After	0
EquationMatrixInsertRowBefore	1	button	Insert Row Before	0
EquationNaryLimitLocation	1	button	Change Limit Locations	0
EquationNoBarFraction	1	button	No-Bar Fraction	0
EquationNormalText	1	toggleButton	Normal Text	1	toggleButton	Normal Text
EquationOperatorGallery	1	gallery	Operator	1	gallery	Operator
EquationOptions	1	button	Equation Options	1	button (dialogBoxLauncher)	Equation Options
EquationOptionsGallery	0			1	gallery	Math Options
EquationProfessional	1	button	Professional	1	button	Professional
EquationRadicalGallery	1	gallery	Radical	1	gallery	Radical
EquationRemoveStructure	1	button	Remove Equation Structure	0
EquationRemoveSubscript	1	button	Remove Subscript	0
EquationRemoveSuperscript	1	button	Remove Superscript	0
EquationRightJustification	1	toggleButton	Right	0
EquationScriptAlignment	1	button	Align Scripts	0
EquationScriptGallery	1	gallery	Script	1	gallery	Script
EquationScriptLocation	1	button	Change Scripts Location	0
EquationShowHideBorderBLTRStrike	1	button	Add/Remove Strike from Bottom Left	0
EquationShowHideBorderBottom	1	button	Show/Hide Bottom Edge	0
EquationShowHideBorderHorizontalStrike	1	button	Add/Remove Horizontal Strike	0
EquationShowHideBorderLeft	1	button	Show/Hide Left Edge	0
EquationShowHideBorderRight	1	button	Show/Hide Right Edge	0
EquationShowHideBorderTLBRStrike	1	button	Add/Remove Strike from Top Left	0
EquationShowHideBorderTop	1	button	Show/Hide Top Edge	0
EquationShowHideBorderVerticalStrike	1	button	Add/Remove Vertical Strike	0
EquationShowHideClosingDelimiter	1	button	Show/Hide Right Character	0
EquationShowHideLowerLimit	1	button	Show/Hide Lower Limit	0
EquationShowHideOpeningDelimiter	1	button	Show/Hide Left Character	0
EquationShowHidePlaceholders	1	button	Show/Hide Placeholders	0
EquationShowHideRadicalDegree	1	button	Show/Hide Degree	0
EquationShowHideUpperLimit	1	button	Show/Hide Upper Limit	0
EquationSkewedFraction	1	button	Skewed Fraction	0
EquationStackedFraction	1	button	Stacked Fraction	0
EquationStretchDelimiters	1	button	Stretch Brackets	0
EquationStretchNaryOperator	1	button	Stretch N-ary Operator	0
EquationSymbolsInsertGallery	1	gallery	Equation Symbols	1	gallery	Equation Symbols
EquationVerticalAlignmentBottom	1	button	Bottom	0
EquationVerticalAlignmentCenter	1	button	Center	0
EquationVerticalAlignmentMenu	1	menu	Equation Structure Vertical Alignment	0
EquationVerticalAlignmentTop	1	button	Top	0
ExcelSpreadsheetInsert	1	button	Excel Spreadsheet	1	button	Excel Spreadsheet
ExchangeFolder	1	button	Exchange Folder	1	button	Exchange Folder
ExitEditCurve	1	button	Exit Edit Point	1	button	Exit Edit Point
ExportToVideo	1	button	Create a Video	1	button	Create a Video
EyedropperFill	0			1	button	Eyedropper
EyedropperFillText	0			1	button	Eyedropper
EyedropperGlow	0			1	button	Eyedropper
EyedropperGlowText	0			1	button	Eyedropper
EyedropperOutline	0			1	button	Eyedropper
EyedropperOutlineText	0			1	button	Eyedropper
EyedropperRecolor	0			1	button	Eyedropper
FadeDurationLabel	1	labelControl	Fade Duration	1	labelControl	Fade Duration
FifthCorrectionAlternative	0			1	button	(No Suggestion)
FileAddDigitalSignature	1	button	Add a Digital Signature	1	button	Add a Digital Signature
FileCheckIn	1	button	Check In	1	button	Check In
FileCheckOut	1	button	Check Out	1	button	Check Out
FileCheckOutDiscard	1	button	Discard Check Out	1	button	Discard Check Out
FileClose	1	button	Close	1	button	Close
FileCompatibilityCheckerPowerPoint	1	button	Check Compatibility	1	button	Check Compatibility
FileCreateDocumentWorkspace	1	toggleButton	Create Document Workspace	0
FileDiscardCachedChanges	0			1	button	Discard Changes
FileDocumentEncrypt	1	toggleButton	Encrypt Document	1	toggleButton	Encrypt Document
FileDocumentInspect	1	button	Inspect Document	1	button	Inspect Document
FileDocumentManagementInformation	1	toggleButton	Document Management Information	0
FileEmailAsPdfEmailAttachment	1	button	E-mail as PDF Attachment	1	button	E-mail as PDF Attachment
FileEmailAsXpsEmailAttachment	1	button	E-mail as XPS Attachment	1	button	E-mail as XPS Attachment
FileExit	1	button	Exit	1	button	Exit
FileInternetFax	1	button	Internet Fax	1	button	Internet Fax
FileLinksToFiles	1	button	Edit Links to Files	1	button	Edit Links to Files
FileMarkAsFinal	1	toggleButton	Mark as Final	1	toggleButton	Mark as Final
FileNew	1	button	New	1	button	New
FileNewDefault	1	button	New	1	button	New
FileOpen	1	button	Open	1	button	Open
FileOpenRecentFile	1	button	Open Recent File	1	button	Open Recent File
FileOpenUsingBackstage	0			1	button	Open
FilePackageForCD	1	button	Package Presentation for CD	1	button	Package Presentation for CD
FilePermissionDoNotDistribute	1	toggleButton	Restricted Access	1	toggleButton	Restricted Access
FilePermissionRestrictAs	1	button	Manage Credentials	1	button	Manage Credentials
FilePermissionRestrictMenu	1	menu	Restrict Permission	1	menu	Restrict Permission
FilePermissionUnrestricted	1	toggleButton	Unrestricted Access	1	toggleButton	Unrestricted Access
FilePermissionView	1	button	View Permission	1	button	View Permission
FilePrepareMenu	1	menu	Prepare	1	menu	Prepare
FilePrint	1	button	Print	1	button	Print
FilePrintCustomRange	0			1	control
FilePrintMenu	1	splitButton	Preview and Print	1	splitButton	Preview and Print
FilePrintPreview	1	toggleButton	Print Preview	1	toggleButton	Print Preview
FilePrintQuick	1	button	Quick Print	1	button	Quick Print
FileProperties	1	toggleButton	Properties	1	toggleButton	Properties
FilePublishSlides	1	button	Publish Slides	1	button	Publish Slides
FileSave	1	button	Save	1	button	Save
FileSaveACopy	0			1	button	Save a Copy
FileSaveAs	1	button	Save As	1	button	Save As
FileSaveAsMenu	1	splitButton	Save As Other Format	1	splitButton	Save As Other Format
FileSaveAsOtherFormats	0			1	button	Save As
FileSaveAsPdfOrXps	1	button	Publish as PDF or XPS	1	button	Publish as PDF or XPS
FileSaveAsPowerPoint97_2003	1	button	PowerPoint 97-2003 Presentation	1	button	PowerPoint 97-2003 Presentation
FileSaveAsPowerPointOpenDocumentPresentation	1	button	OpenDocument Presentation	1	button	OpenDocument Presentation
FileSaveAsPowerPointPpsx	1	button	PowerPoint Show	1	button	PowerPoint Show
FileSaveAsPowerPointPptx	1	button	PowerPoint Presentation	1	button	PowerPoint Presentation
FileSaveToDocumentManagementServer	1	button	Document Management Server	1	button	Document Management Server
FileSendAsAttachment	1	button	E-mail	1	button	Email
FileSendMenu	1	menu	Send	1	menu	Send
FileServerTasksMenu	1	menu	Server	1	menu	Server
FileStartWorkflow	1	button	Workflows	1	button	Workflows
FileTypeChange	0			1	task
FileTypes	0			1	category	File Types
FileVersionHistory	1	button	View Version History	1	button	View Version History
FileViewDigitalSignatures	1	toggleButton	View Signatures	1	toggleButton	View Signatures
FileWorkflowTasks	1	button	View Workflow Tasks	1	button	View Workflow Tasks
FindDialog	1	button	Find	1	button	Find
FindNext	1	button	Find Next	1	button	Find Next
FirstCorrectionAlternative	0			1	button	(No Suggestion)
FixSynonymChangeMenu	1	menu	Synonyms	1	menu	Synonyms
Font	1	comboBox	Font	1	comboBox	Font
FontColorMoreColorsDialogPowerPoint	1	button	More Colors	1	button	More Colors
FontColorPicker	1	gallery	Font Color	1	gallery	Font Color
FontDialog	1	button	Font	1	button	Font
FontDialogPowerPoint	1	button	Font	1	button (dialogBoxLauncher)	Font
FontSize	1	comboBox	Font Size	1	comboBox	Font Size
FontSizeDecrease	1	button	Decrease Font Size	1	button	Decrease Font Size
FontSizeIncrease	1	button	Increase Font Size	1	button	Increase Font Size
FontsReplaceFonts	1	button	Replace Fonts	1	button	Replace Fonts
FormatPainter	1	control	Format Painter	1	control	Format Painter
FourthCorrectionAlternative	0			1	button	(No Suggestion)
GalPens	1	gallery	Pens	0
GalleryAllShapesAndTextboxes	0			1	gallery	Shapes
GetLinks	0			1	task	Get a Sharing Link
GlowColorMoreColorsDialog	1	button	More Colors	1	button	More Colors
GlowColorPicker	1	gallery	More Glow Colors	1	gallery	More Glow Colors
GlowOptionsDialog	1	button	Glow Options	0
GlowsMoreOptions	0			1	button	Glow Options
GoToProperty	1	button	Go To	1	button	Go To
GradientGallery	1	gallery	Gradient	1	gallery	Gradient
GridSettings	1	button	Grid Settings	1	button	Grid Settings
GroupARMPreview	0			1	group	Preview Edition
GroupAboutOfficeProducts	0			1	group	Learn More about Your Microsoft Office Product
GroupAddInsCustomToolbars	1	group	Custom Toolbars	1	group	Custom Toolbars
GroupAddInsMenuCommands	1	group	Menu Commands	1	group	Menu Commands
GroupAddInsToolbarCommands	1	group	Toolbar Commands	1	group	Toolbar Commands
GroupAddLocation	0			1	group
GroupAddins	0			1	group	Add-Ins
GroupAlignment	1	group	Alignment	1	group	Alignment
GroupAllAuthors	0			1	group	Currently Editing
GroupAnimationCustom	1	group	Custom Animation	1	group	Advanced Animation
GroupAnimationPreview	0			1	group	Preview
GroupAnimationTiming	1	group	Timing	1	group	Timing
GroupAnimations	1	group	Animation	1	group	Animation
GroupArrange	1	group	Arrange	1	group	Arrange
GroupAudioBookmark	1	group	Bookmarks	1	group	Bookmarks
GroupAudioEditing	1	group	Editing	1	group	Editing
GroupAudioOptions	1	group	Audio Options	1	group	Audio Options
GroupAudioStyles	0			1	group	Audio Styles
GroupAudioToolsAdjust	1	group	Adjust	1	group	Adjust
GroupBackground	1	group	Background	1	group	Background
GroupBackgroundRemoval	1	group	Background Removal	0
GroupBackgroundRemovalClose	0			1	group	Close
GroupBackgroundRemovalMode	1	group	Background Removal	1	group	Refine
GroupBackstageIdentity	0			1	group	User Information
GroupBackstageSignIn	0			1	group	Sign-in to Office
GroupBackstageSignInDisabled	0			1	group	Sign-in has been disabled
GroupBroadcast	0			1	group
GroupBroadcastBroadcast	1	group	Broadcast	1	group	Present Online
GroupBroadcastEndWarning	0			1	group	End Online Presentation
GroupBroadcastResume	1	group	Start Slide Show	1	group	Start Slide Show
GroupBroadcastResumeWarning	0			1	group	Online Presentation Paused
GroupCDAudioSetup	1	group	Set Up	1	group	Set Up
GroupCachedOfflineMergeable	0			1	group	Offline Copy
GroupChartAnalysis	1	group	Analysis	1	group	Analysis
GroupChartAxes	1	group	Axes	1	group	Axes
GroupChartBackground	1	group	Background	1	group	Background
GroupChartCurrentSelection	1	group	Current Selection	1	group	Current Selection
GroupChartData	1	group	Data	1	group	Data
GroupChartDrawingModes	1	group	Mode	0
GroupChartLabels	1	group	Labels	1	group	Labels
GroupChartLayouts	1	group	Chart Layouts	1	group	Chart Layouts
GroupChartShapes	1	group	Insert	1	group	Insert
GroupChartStyles	1	group	Chart Styles	1	group	Chart Styles
GroupChartType	1	group	Type	1	group	Type
GroupCheckIn	0			1	group	Check In
GroupChineseTranslation	1	group	Chinese Conversion	1	group	Chinese Conversion
GroupClickToRunUpdateStatus	0			1	group	Click to Run Update Status
GroupClipboard	1	group	Clipboard	1	group	Clipboard
GroupCloseBackgroundRemoval	1	group	Close	0
GroupCloseMergeView	1	group	Close Merge View	0
GroupCode	1	group	Code	1	group	Code
GroupColorGrayscale	1	group	Color/Grayscale	1	group	Color/Grayscale
GroupColorModeClose	1	group	Close	1	group	Close
GroupColorModeSetting	1	group	Change Selected Object	1	group	Change Selected Object
GroupComments	1	group	Comments	1	group	Comments
GroupCompressMedia	0			1	group	Compress Media
GroupControls	1	group	Controls	1	group	Controls
GroupCreateHandoutsInWord	0			1	group
GroupCreatePdfOrXpsDocument	0			1	group
GroupCustomizeThemeOptions	0			1	group	Customize
GroupDiagramming	1	group	Ink Art	1	group	Ink Art
GroupDocumentProperties	0			1	group	Properties
GroupDrawBorders	1	group	Draw Borders	1	group	Draw Borders
GroupDrawing	1	group	Drawing	1	group	Drawing
GroupDynamicServiceProvider	0			1	group
GroupEditing	1	group	Editing	1	group	Editing
GroupEquationStructures	1	group	Structures	1	group	Structures
GroupEquationSymbols	1	group	Symbols	1	group	Symbols
GroupEquationTools	1	group	Tools	1	group	Tools
GroupExportToVideo	0			1	group	Export to Video
GroupFileConvert	0			1	group	Compatibility Mode
GroupFileSave	0			1	group
GroupFont	1	group	Font	1	group	Font
GroupImages	0			1	group	Images
GroupInk	1	group	Ink	1	group	Ink
GroupInkClose	1	group	Close	1	group	Close
GroupInkFormat	0			1	group	Format
GroupInkPens	1	group	Pens	1	group	Pens
GroupInkSelect	1	group	Select	1	group	Select
GroupInsertBarcode	1	group	Barcode	1	group	Barcode
GroupInsertComments	0			1	group	Comments
GroupInsertIllustrations	1	group	Illustrations	1	group	Illustrations
GroupInsertImages	1	group	Images	0
GroupInsertLinks	1	group	Links	1	group	Links
GroupInsertMediaClips	1	group	Media	1	group	Media
GroupInsertSymbols	1	group	Symbols	1	group	Symbols
GroupInsertTables	1	group	Tables	1	group	Tables
GroupInsertText	1	group	Text	1	group	Text
GroupLanguage	1	group	Language	1	group	Language
GroupMacros	1	group	Macros	1	group	Macros
GroupMasterClose	1	group	Close	1	group	Close
GroupMasterEdit	1	group	Edit Master	1	group	Edit Master
GroupMasterEditTheme	1	group	Edit Theme	1	group	Edit Theme
GroupMasterLayout	1	group	Master Layout	1	group	Master Layout
GroupMasterSlides	1	group	Slides	1	group	Slides
GroupMasterViews	1	group	Master Views	1	group	Master Views
GroupMediaPreview	1	group	Preview	1	group	Preview
GroupMerge	1	group	Merge	1	group	Merge
GroupMergeViewClose	0			1	group	Close Merge View
GroupModify	1	group	Modify	1	group	Modify
GroupMonitors	1	group	Monitors	1	group	Monitors
GroupMovieOptions	1	group	Video Options	1	group	Video Options
GroupNewPens	1	group	Pens	0
GroupNewWrite	1	group	Write	0
GroupOfficeBranding	0			1	group	Office Branding
GroupOfficeStart	0			1	group	New
GroupOpenPlaces	0			1	taskFormGroup	Open
GroupOptimizeCompatibility	0			1	group	Maximize Playback
GroupPackageForCD	0			1	group
GroupPageSetup	1	group	Page Setup	0
GroupPageSetupHandoutMaster	1	group	Page Setup	1	group	Page Setup
GroupPageSetupNotesMaster	1	group	Page Setup	1	group	Page Setup
GroupParagraph	1	group	Paragraph	1	group	Paragraph
GroupPens	0			1	group	Pens
GroupPensWrite	0			1	group	Write
GroupPermission	1	group	Protect	1	group	Protect
GroupPermissions	0			1	group	Permissions
GroupPictureSize	1	group	Size	1	group	Size
GroupPictureStyles	1	group	Picture Styles	1	group	Picture Styles
GroupPictureTools	1	group	Adjust	1	group	Adjust
GroupPlaceholdersHandoutMaster	1	group	Placeholders	1	group	Placeholders
GroupPlaceholdersNotesMaster	1	group	Placeholders	1	group	Placeholders
GroupPlay	1	group	Play	1	group	Play
GroupPrepareForSharing	0			1	group	Prepare for Sharing
GroupPresentationViews	1	group	Presentation Views	1	group	Presentation Views
GroupPreview	1	group	Preview	1	group	Preview
GroupPreviewTransitions	1	group	Preview	1	group	Preview
GroupPrintPreview	0			1	group	Print Preview
GroupPrintPreviewPageSetup	1	group	Page Setup	1	group	Page Setup
GroupPrintPreviewPreview	1	group	Preview	1	group	Preview
GroupPrintPreviewPrint	1	group	Print	1	group	Print
GroupPrintProtectedView	0			1	group	Protected View
GroupPrintSettings	0			1	group	Print Settings
GroupProofing	1	group	Proofing	1	group	Proofing
GroupProtectedView	0			1	group	Protected View
GroupPublishSlides	0			1	group
GroupReadOnly	0			1	group	Read-Only Document
GroupReadOnlyCached	0			1	group	Read-Only Document
GroupReadOnlyCachedMergeable	0			1	group	Want to edit this document?
GroupReadOnlyCheckOutRequired	0			1	group	Read-Only Document
GroupReadOnlyOffline	0			1	group	Want to edit this document?
GroupReadOnlyServer	0			1	group	Want to edit this document?
GroupRecentDocuments	0			1	group	Recent Documents
GroupRecentPlaces	0			1	group	Browse a Location
GroupRecoverUnsavedFiles	0			1	group	Recover Unsaved Files
GroupResolutions	1	group	Resolutions	1	group	Resolutions
GroupReviewCompare	1	group	Compare	1	group	Compare
GroupSecurityWarning	0			1	group	Security Warning
GroupSendAsAttachment	0			1	group
GroupSendAsInternetFax	0			1	group
GroupSendAsLink	0			1	group
GroupSendAsPdf	0			1	group
GroupSendAsXps	0			1	group
GroupSendByInstantMessage	0			1	group
GroupShapeStyles	1	group	Shape Styles	1	group	Shape Styles
GroupShapes	1	group	Insert Shapes	1	group	Insert Shapes
GroupShapesChart	0			1	group	Insert Shapes
GroupShare	0			1	taskFormGroup	Sending Features
GroupShareWithNetwork	0			1	group	Share with Network
GroupShareWithPeople	0			1	group	Share with People
GroupShowHideChanges	1	group	Show/Hide	1	group	Show/Hide
GroupSignatures	0			1	group	Finalize
GroupSize	1	group	Size	1	group	Size
GroupSlideShowSetup	1	group	Set Up	1	group	Set Up
GroupSlideShowStart	1	group	Start Slide Show	1	group	Start Slide Show
GroupSlideSize	0			1	group	Size
GroupSlideThemes	1	group	Themes	1	group	Themes
GroupSlides	1	group	Slides	1	group	Slides
GroupSlides2	0			1	group	Slides
GroupSmartArtCreateGraphic	1	group	Create Graphic	1	group	Create Graphic
GroupSmartArtLayouts	1	group	Layouts	1	group	Layouts
GroupSmartArtQuickStyles	1	group	SmartArt Styles	1	group	SmartArt Styles
GroupSmartArtReset	1	group	Reset	1	group	Reset
GroupSmartArtShapes	1	group	Shapes	1	group	Shapes
GroupSmartArtSize	1	group	Size	1	group	Size
GroupSoundOptions	1	group	Audio Options	1	group	Audio Options
GroupTable	1	group	Table	1	group	Table
GroupTableCellSize	1	group	Cell Size	1	group	Cell Size
GroupTableRowsAndColumns	1	group	Rows & Columns	1	group	Rows & Columns
GroupTableSize	1	group	Table Size	1	group	Table Size
GroupTableStyleOptionsPowerPoint	1	group	Table Style Options	1	group	Table Style Options
GroupTableStylesPowerPoint	1	group	Table Styles	1	group	Table Styles
GroupTextStylesTable	1	group	WordArt Styles	1	group	WordArt Styles
GroupThemeVariants	0			1	group	Variants
GroupThumbnail	0			1	group
GroupTransitionStyles	1	group	Timing	1	group	Timing
GroupTransitionToThisSlide	1	group	Transition to This Slide	1	group	Transition to This Slide
GroupUpdatesAvailable	0			1	group	Document Updates Available
GroupUploadErrors	0			1	group	Upload Errors
GroupVersions	0			1	group	Are There Other Versions of This Document?
GroupVideoBookmark	1	group	Bookmarks	1	group	Bookmarks
GroupVideoEditing	1	group	Editing	1	group	Editing
GroupVideoOptions	1	group	Video Options	1	group	Video Options
GroupVideoSize	1	group	Size	1	group	Size
GroupVideoStyles	1	group	Video Styles	1	group	Video Styles
GroupVideoToolsAdjust	1	group	Adjust	1	group	Adjust
GroupViewDirection	1	group	Direction	1	group	Direction
GroupViewShowHide	1	group	Show	1	group	Show
GroupWindow	1	group	Window	1	group	Window
GroupWordArtStyles	1	group	WordArt Styles	1	group	WordArt Styles
GroupWorkflowStart	0			1	group
GroupWorkflows	0			1	group	Workflow Task
GroupWorkflowsUnavailable	0			1	group
GroupZoom	1	group	Zoom	1	group	Zoom
GrupPolicyWarning	0			1	group	Information Management Policy
GuideColorGallery	0			1	gallery	Color
GuideDelete	0			1	button	Delete
GuidesShowHide	0			1	checkBox	Guides
HandoutOrientation	1	gallery	Handout Orientation	1	gallery	Handout Orientation
HangulHanjaConversionPowerPoint	1	button	Hangul Hanja Conversion	1	button	Hangul Hanja Conversion
HeaderFooterInsert	1	button	Header & Footer	1	button	Header & Footer
Help	1	button	Help	1	button	Help
HideRibbon	0			1	toggleButton	Hide the Ribbon
Highlighter	1	toggleButton	Highlighter	0
HyperlinkCopy	1	button	Copy Hyperlink	1	button	Copy Hyperlink
HyperlinkEdit	1	button	Edit Hyperlink	1	button	Edit Hyperlink
HyperlinkInsert	1	button	Hyperlink	1	button	Hyperlink
HyperlinkInsertPowerPoint	1	button	Hyperlink	1	button	Hyperlink
HyperlinkOpen	1	button	Open Hyperlink	1	button	Open Hyperlink
HyperlinkRemove	1	button	Remove Hyperlink	1	button	Remove Hyperlink
ImeReconvert	1	button	Reconvert	1	button	Reconvert
IndentDecrease	1	button	Decrease Indent	1	button	Decrease Indent
IndentIncrease	1	button	Increase Indent	1	button	Increase Indent
InkBallpointPen	1	toggleButton	Ballpoint Pen	1	toggleButton	Pen
InkColorMoreColorsDialog	1	button	More Ink Colors	1	button	More Ink Colors
InkColorPicker	0			1	gallery	Color
InkCopyAsText	1	button	Copy Ink As Text	1	button	Copy Ink As Text
InkEraser	1	toggleButton	Eraser	1	toggleButton	Stroke Eraser
InkEraserMenu	1	splitButton	Eraser	1	splitButton	Eraser
InkFeltTipPen	1	toggleButton	Felt Tip Pen	1	toggleButton	Felt Tip Pen
InkHighlighter	1	toggleButton	Highlighter	1	toggleButton	Highlighter
InkStopInkingReadingView	0			1	button	Stop Inking
InkToolsClose	1	button	Close Ink Tools	1	button	Close Ink Tools
InkToolsSelect	1	toggleButton	Select & Type	0
InkingStart	1	button	Start Inking	1	button	Start Inking
InsertBuildingBlocksEquationsGallery	0			1	gallery	Equation
InsertMovieDialog	0			1	button	Video
InsertNewComment	0			1	button	Comment
InsertRowsColumnsMenu	1	menu	Insert Rows & Columns	0
InsertTab	1	button	Tab	1	button	Tab
IntersectShapes	1	button	Intersect	0
Italic	1	toggleButton	Italic	1	toggleButton	Italic
JotLineColor	1	gallery	Line Color	0
KeepBackgroundRemoval	0			1	button	Keep Changes
LabelInsert	1	button	Label	1	button	Label
LabelSketchModeDescription	1	labelControl	Faster Rendering Mode with Reduced Effects	0
LanguageCommands	0			1	menu	Language
LanguagePreferences	0			1	button	Language Preferences
LassoSelect	1	toggleButton	Lasso Select	1	toggleButton	Lasso Select
LaunchFormatBackground	0			1	button	Format Background
LeaveReader	1	button	Enable Editing	1	button	Enable Editing
LineSpacingGalleryPowerPoint	1	gallery	Line Spacing	1	gallery	Line Spacing
LineStylesDialog	1	button	More Lines	1	button	More Lines
LineThickness	1	gallery	Thickness	1	gallery	Thickness
LinkBreak	1	button	Break Link	1	button	Break Link
LinkChange	1	button	Change Link	1	button	Change Link
LinksUpdate	1	button	Update Links	1	button	Update Links
LoadingServicesGroup	0			1	group
MacroPlay	1	button	Macros	1	button	Macros
MacroSecurity	1	button	Macro Security	1	button	Macro Security
MakeSegmentCurved	1	button	Curved Segment	1	button	Curved Segment
MakeSegmentStraight	1	button	Straight Segment	1	button	Straight Segment
ManageServices	0			1	group	Connected Services
MasterNotesPageOrientation	1	gallery	Notes Page Orientation	1	gallery	Notes Page Orientation
MasterShowBody	1	checkBox	Body	1	checkBox	Body
MasterShowDate	1	checkBox	Date	1	checkBox	Date
MasterShowFooter	1	checkBox	Footer	1	checkBox	Footer
MasterShowHeader	1	checkBox	Header	1	checkBox	Header
MasterShowPageNumber	1	checkBox	Page Number	1	checkBox	Page Number
MasterShowSlideImage	1	checkBox	Slide Image	1	checkBox	Slide Image
MasterViewClose	1	button	Close	1	button	Close
MdiChildSystemMenu	1	menu	Document	1	menu	Document
Media14PlayPreview	1	button	Play	0
MediaClipLoopUntilStopped	1	checkBox	Loop until Stopped	1	checkBox	Loop until Stopped
MediaClipLoopUntilStoppedAudio	0			1	checkBox	Loop until Stopped
MediaClipPlayAcrossSlides	0			1	checkBox	Play Across Slides
MediaClipToolsHideDuringShow	1	checkBox	Hide While Not Playing	1	checkBox	Hide During Show
MediaClipToolsHideDuringShowAudio	0			1	checkBox	Hide During Show
MediaClipToolsHideDuringShowVideo	0			1	checkBox	Hide During Show
MediaControlsShow	0			1	checkBox	Show Media Controls
MediaPlayPreview	0			1	button	Play
MediaUpgrade	1	button	Upgrade Media Object	1	button	Upgrade Media Object
MenuChartArea	1	contextMenu		0
MenuChartAxis	1	contextMenu		0
MenuChartAxisTitle	1	contextMenu		0
MenuChartBackWall	1	contextMenu		0
MenuChartDataLabel	1	contextMenu		0
MenuChartDataLabels	1	contextMenu		0
MenuChartDataPoint	1	contextMenu		0
MenuChartDataSeries	1	contextMenu		0
MenuChartDataTable	1	contextMenu		0
MenuChartDisplayUnit	1	contextMenu		0
MenuChartDownBars	1	contextMenu		0
MenuChartDropLines	1	contextMenu		0
MenuChartErrorBars	1	contextMenu		0
MenuChartFloor	1	contextMenu		0
MenuChartGridlines	1	contextMenu		0
MenuChartHiLoLine	1	contextMenu		0
MenuChartLeaderLines	1	contextMenu		0
MenuChartLegend	1	contextMenu		0
MenuChartLegendEntry	1	contextMenu		0
